"","単語","品詞名","文字数","出現数"
"1082","of","IN",2,7
"1083","different","JJ",9,7
"1084","race","NN",4,7
"1085","and","CC",3,7
"1086","region","NN",6,7
"1087","and","CC",3,7
"1088","religion","NN",8,7
"1089","and","CC",3,7
"1090","where","WRB",5,7
"1091","there","EX",5,7
"1092","had","VBD",3,7
"1093","been","VBN",4,7
"1094","mistrust","NN",8,7
"1095","built","VBN",5,7
"1096","unity","NN",5,7
"1097","with","IN",4,7
"1098","a","DT",1,7
"1099","respect","NN",7,7
"1100","for","IN",3,7
"1101","diversity","NN",9,7
"1102",";","SENT",1,7
"1103","that","IN",4,8
"1104","we","PP",2,8
"1105","had","VBD",3,8
"1106","found","VBN",5,8
"1107","productive","JJ",10,8
"1108","work","NN",4,8
"1109","for","IN",3,8
"1110","those","DT",5,8
"1111","able","JJ",4,8
"1112","to","TO",2,8
"1113","perform","VB",7,8
"1114","it","PP",2,8
"1115",";","SENT",1,8
"1116","that","IN",4,9
"1117","we","PP",2,9
"1118","had","VBD",3,9
"1119","strengthened","VBN",12,9
"1120","the","DT",3,9
"1121","american","JJ",8,9
"1122","family","NN",6,9
"1123","which","WDT",5,9
"1124","is","VBZ",2,9
"1125","the","DT",3,9
"1126","basis","NN",5,9
"1127","of","IN",2,9
"1128","our","PP$",3,9
"1129","society","NN",7,9
"1130",";","SENT",1,9
"1131","that","IN",4,10
"1132","we","PP",2,10
"1133","had","VBD",3,10
"1134","ensured","VBN",7,10
"1135","respect","NN",7,10
"1136","for","IN",3,10
"1137","the","DT",3,10
"1138","law","NN",3,10
"1139","and","CC",3,10
"1140","equal","JJ",5,10
"1141","treatment","NN",9,10
"1142","under","IN",5,10
"1143","the","DT",3,10
"1144","law","NN",3,10
"1145","for","IN",3,10
"1146","the","DT",3,10
"1147","weak","JJ",4,10
"1148","and","CC",3,10
"1149","the","DT",3,10
"1150","powerful","JJ",8,10
"1151","for","IN",3,10
"1152","the","DT",3,10
"1153","rich","JJ",4,10
"1154","and","CC",3,10
"1155","the","DT",3,10
"1156","poor","JJ",4,10
"1157",";","SENT",1,10
"1158","and","CC",3,10
"1159","that","IN",4,10
"1160","we","PP",2,10
"1161","had","VBD",3,10
"1162","enabled","VBN",7,10
"1163","our","PP$",3,10
"1164","people","NNS",6,10
"1165","to","TO",2,10
"1166","be","VB",2,10
"1167","proud","JJ",5,10
"1168","of","IN",2,10
"1169","their","PP$",5,10
"1170","own","JJ",3,10
"1171","government","NN",10,10
"1172","once","RB",4,10
"1173","again","RB",5,10
"1174","i","NP",1,10
"1175","would","MD",5,10
"1176","hope","VB",4,10
"1177","that","IN",4,10
"1178","the","DT",3,10
"1179","nations","NNS",7,10
"1180","of","IN",2,10
"1181","the","DT",3,10
"1182","world","NN",5,10
"1183","might","MD",5,10
"1184","say","VB",3,10
"1185","that","IN",4,10
"1186","we","PP",2,10
"1187","had","VBD",3,10
"1188","built","VBN",5,10
"1189","a","DT",1,10
"1190","lasting","JJ",7,10
"1191","peace","NN",5,10
"1192","built","VBN",5,10
"1193","not","RB",3,10
"1194","on","IN",2,10
"1195","weapons","NNS",7,10
"1196","of","IN",2,10
"1197","war","NN",3,10
"1198","but","CC",3,10
"1199","on","IN",2,10
"1200","international","JJ",13,10
"1201","policies","NNS",8,10
"1202","which","WDT",5,10
"1203","reflect","VBP",7,10
"1204","our","PP$",3,10
"1205","own","JJ",3,10
"1206","most","JJS",4,10
"1207","precious","JJ",8,10
"1208","values","VBZ",6,10
"1209","these","DT",5,10
"1210","are","VBP",3,10
"1211","not","RB",3,10
"1212","just","RB",4,10
"1213","my","PP$",2,10
"1214","goals","NNS",5,10
"1215","and","CC",3,10
"1216","they","PP",4,10
"1217","will","MD",4,10
"1218","not","RB",3,10
"1219","be","VB",2,10
"1220","my","PP$",2,10
"1221","accomplishments","NNS",15,10
"1222","but","CC",3,10
"1223","the","DT",3,10
"1224","affirmation","NN",11,10
"1225","of","IN",2,10
"1226","our","PP$",3,10
"1227","nation","NN",6,10
"1228","continuing","VBG",10,10
"1229","moral","JJ",5,10
"1230","strength","NN",8,10
"1231","and","CC",3,10
"1232","our","PP$",3,10
"1233","belief","NN",6,10
"1234","in","IN",2,10
"1235","an","DT",2,10
"1236","undiminished","JJ",12,10
"1237","ever","RB",4,10
"1238","expanding","VBG",9,10
"1239","american","JJ",8,10
"1240","dream","NN",5,10
